phone_id,location_date,latitude,longitude
33,2022-11-01 01:32:47.0,39.5089941000,2.5356773000
50,2022-11-01 01:32:52.0,39.5041492300,2.5277582100
23,2022-11-01 01:32:54.0,39.5046773900,2.5289593900
14,2022-11-01 01:32:57.0,39.5047387000,2.5305663000
33,2022-11-01 01:33:50.0,39.5053465000,2.5326604000
50,2022-11-01 01:33:56.0,39.5039178700,2.5279744100
23,2022-11-01 01:33:58.0,39.5038578600,2.5283499900
14,2022-11-01 01:33:59.0,39.5038239000,2.5283439000
33,2022-11-01 01:34:53.0,39.5046711000,2.5305846000
50,2022-11-01 01:35:00.0,39.5038872400,2.5279999600
14,2022-11-01 01:35:01.0,39.5035637000,2.5294877000
23,2022-11-01 01:35:03.0,39.5039685900,2.5281400700
33,2022-11-01 01:35:56.0,39.5023901000,2.5314718000
14,2022-11-01 01:36:04.0,39.5047861000,2.5301148000
50,2022-11-01 01:36:04.0,39.5039208400,2.5279935400
23,2022-11-01 01:36:08.0,39.5039248100,2.5279320100
33,2022-11-01 01:36:58.0,39.5025803000,2.5310395000
14,2022-11-01 01:37:07.0,39.5050168000,2.5320803000
50,2022-11-01 01:37:07.0,39.5041237200,2.5279290700
23,2022-11-01 01:37:12.0,39.5039436600,2.5278772400
33,2022-11-01 01:38:00.0,39.5038308000,2.5277555000
14,2022-11-01 01:38:09.0,39.5050895000,2.5298487000
50,2022-11-01 01:38:11.0,39.5041374700,2.5279109800
23,2022-11-01 01:38:17.0,39.5041463600,2.5276748500
33,2022-11-01 01:39:03.0,39.5055291000,2.5314051000
14,2022-11-01 01:39:12.0,39.5057681000,2.5296087000
50,2022-11-01 01:39:14.0,39.5057388600,2.5292514600
23,2022-11-01 01:39:22.0,39.5038463300,2.5283366700
33,2022-11-01 01:40:06.0,39.5027282000,2.5315524000
14,2022-11-01 01:40:14.0,39.5057858000,2.5296115000
50,2022-11-01 01:40:18.0,39.5056079900,2.5293076400
23,2022-11-01 01:40:26.0,39.5037178500,2.5284629300
33,2022-11-01 01:41:08.0,39.5026812000,2.5307995000
14,2022-11-01 01:41:16.0,39.5057415000,2.5296126000
50,2022-11-01 01:41:22.0,39.5056204000,2.5293564600
23,2022-11-01 01:41:30.0,39.5037940900,2.5284112800
33,2022-11-01 01:42:10.0,39.5053210000,2.5296033000
14,2022-11-01 01:42:18.0,39.5038910000,2.5279111000
50,2022-11-01 01:42:27.0,39.5056398400,2.5293160700
23,2022-11-01 01:42:34.0,39.5040165800,2.5278988300
33,2022-11-01 01:43:12.0,39.5056118000,2.5296367000
14,2022-11-01 01:43:20.0,39.5038980000,2.5276754000
50,2022-11-01 01:43:31.0,39.5058012800,2.5292341100
23,2022-11-01 01:43:38.0,39.5039558600,2.5281381600
33,2022-11-01 01:44:14.0,39.5055757000,2.5296394000
14,2022-11-01 01:44:22.0,39.5037922000,2.5278203000
50,2022-11-01 01:44:37.0,39.5057777800,2.5292125500
23,2022-11-01 01:44:42.0,39.5038049900,2.5272498000
33,2022-11-01 01:45:17.0,39.5055509000,2.5297200000
14,2022-11-01 01:45:24.0,39.5039383000,2.5279720000
50,2022-11-01 01:45:42.0,39.5056054200,2.5292802000
23,2022-11-01 01:45:46.0,39.5043591000,2.5269751100
33,2022-11-01 01:46:20.0,39.5055893000,2.5296651000
14,2022-11-01 01:46:26.0,39.5038901000,2.5279124000
50,2022-11-01 01:46:48.0,39.5057047700,2.5292225400
23,2022-11-01 01:46:49.0,39.5041968600,2.5267846700
33,2022-11-01 01:47:22.0,39.5054607000,2.5296858000
14,2022-11-01 01:47:28.0,39.5037873000,2.5278292000
23,2022-11-01 01:47:52.0,39.5042247300,2.5268211600
50,2022-11-01 01:47:53.0,39.5056812100,2.5292785900
33,2022-11-01 01:48:25.0,39.5055504000,2.5296908000
14,2022-11-01 01:48:30.0,39.5037854000,2.5278207000
23,2022-11-01 01:48:55.0,39.5041734100,2.5267720400
50,2022-11-01 01:48:59.0,39.5056962500,2.5292749200
33,2022-11-01 01:49:28.0,39.5055094000,2.5294811000
14,2022-11-01 01:49:32.0,39.5039379000,2.5278174000
23,2022-11-01 01:49:58.0,39.5042725200,2.5268905900
50,2022-11-01 01:50:04.0,39.5059935600,2.5290255300
33,2022-11-01 01:50:30.0,39.5055430000,2.5297360000
14,2022-11-01 01:50:34.0,39.5037891000,2.5278241000
23,2022-11-01 01:51:01.0,39.5042458600,2.5268018200
50,2022-11-01 01:51:08.0,39.5057449400,2.5291473700
33,2022-11-01 01:51:32.0,39.5055857000,2.5295835000
14,2022-11-01 01:51:36.0,39.5038840000,2.5279028000
23,2022-11-01 01:52:04.0,39.5041830800,2.5268138600
50,2022-11-01 01:52:12.0,39.5056782000,2.5291942000
33,2022-11-01 01:52:35.0,39.5055244000,2.5296503000
14,2022-11-01 01:52:38.0,39.5057579000,2.5296065000
23,2022-11-01 01:53:08.0,39.5043459500,2.5268520800
